method,history,epoch,Metric,Estimate
CNN,35,8,loss,2.03249907493591
CNN,35,9,loss,1.08612835407257
CNN,35,10,loss,1.16881465911865
CNN,35,11,loss,1.08851838111877
CNN,35,12,loss,1.25283229351044
CNN,35,13,loss,1.11904942989349
CNN,36,1,loss,8.63214302062988
CNN,36,2,loss,1.06245374679565
CNN,36,3,loss,1.75099265575409
CNN,36,4,loss,1.04370760917664
CNN,36,5,loss,1.0710711479187
CNN,36,6,loss,2.08400535583496
CNN,36,7,loss,1.02568316459656
CNN,36,8,loss,1.21879506111145
CNN,36,9,loss,3.94004011154175
CNN,36,10,loss,2.32239603996277
CNN,36,11,loss,1.04317152500153
CNN,36,12,loss,1.3808685541153
CNN,36,13,loss,1.02942669391632
CNN,37,1,loss,10.6533861160278
CNN,37,2,loss,1.1695864200592
CNN,37,3,loss,1.23808741569519
CNN,37,4,loss,1.05192375183105
CNN,37,5,loss,11.9276914596558
CNN,37,6,loss,1.51367890834808
CNN,37,7,loss,1.09813022613525
CNN,37,8,loss,1.36358737945557
CNN,37,9,loss,1.32215583324432
CNN,37,10,loss,1.09366297721863
CNN,37,11,loss,1.32474076747894
CNN,37,12,loss,1.12233352661133
CNN,37,13,loss,1.05271732807159
CNN,38,1,loss,4.05315446853638
CNN,38,2,loss,1.07654893398285
CNN,38,3,loss,1.03356230258942
CNN,38,4,loss,9.15544986724854
CNN,38,5,loss,1.26571428775787
CNN,38,6,loss,1.04519820213318
CNN,38,7,loss,1.23410296440125
CNN,38,8,loss,1.09089863300323
CNN,38,9,loss,5.30192422866821
CNN,38,10,loss,1.64995121955872
CNN,38,11,loss,1.05161428451538
CNN,38,12,loss,1.10622620582581
LSTM,18,1,loss,0.998899161815643
LSTM,18,2,loss,0.997465848922729
LSTM,18,3,loss,0.996141314506531
LSTM,18,4,loss,0.994601964950562
LSTM,18,5,loss,0.99278736114502
LSTM,18,6,loss,0.990369915962219
LSTM,18,7,loss,0.986982345581055
LSTM,18,8,loss,0.98199987411499
LSTM,18,9,loss,0.97617381811142
LSTM,18,10,loss,0.970705568790436
LSTM,19,1,loss,0.998779952526093
LSTM,19,2,loss,0.997643887996674
LSTM,19,3,loss,0.996511101722717
LSTM,19,4,loss,0.995212733745575
LSTM,19,5,loss,0.993724167346954
LSTM,19,6,loss,0.991863310337067
LSTM,19,7,loss,0.988956153392792
LSTM,19,8,loss,0.985382795333862
LSTM,19,9,loss,0.980435431003571
LSTM,19,10,loss,0.975938200950623
LSTM,19,11,loss,0.971419155597687
LSTM,20,1,loss,0.998797059059143
LSTM,20,2,loss,0.997317850589752
LSTM,20,3,loss,0.996109664440155
LSTM,20,4,loss,0.994702398777008
LSTM,20,5,loss,0.993252277374268
LSTM,20,6,loss,0.991553127765656
LSTM,20,7,loss,0.989003598690033
LSTM,20,8,loss,0.985758721828461
LSTM,20,9,loss,0.981280088424683
LSTM,20,10,loss,0.975797116756439
LSTM,21,1,loss,0.998895943164825
LSTM,21,2,loss,0.99737948179245
LSTM,21,3,loss,0.996232271194458
LSTM,21,4,loss,0.994891583919525
LSTM,21,5,loss,0.993496954441071
LSTM,21,6,loss,0.991472184658051
LSTM,21,7,loss,0.988532304763794
LSTM,21,8,loss,0.984240293502808
LSTM,21,9,loss,0.97975081205368
LSTM,21,10,loss,0.975118517875671
LSTM,21,11,loss,0.971115350723267
LSTM,22,1,loss,0.998751878738403
LSTM,22,2,loss,0.997578263282776
LSTM,22,3,loss,0.996287047863007
LSTM,22,4,loss,0.994855523109436
LSTM,22,5,loss,0.993183970451355
LSTM,22,6,loss,0.991521298885345
LSTM,22,7,loss,0.988889217376709
LSTM,22,8,loss,0.985303342342377
LSTM,22,9,loss,0.981499969959259
LSTM,22,10,loss,0.977446019649506
LSTM,23,1,loss,0.999038279056549
LSTM,23,2,loss,0.997656166553497
LSTM,23,3,loss,0.996005713939667
LSTM,23,4,loss,0.994309425354004
LSTM,23,5,loss,0.992648661136627
LSTM,23,6,loss,0.990251481533051
LSTM,23,7,loss,0.987499892711639
LSTM,23,8,loss,0.982880771160126
LSTM,23,9,loss,0.977938175201416
LSTM,23,10,loss,0.974576473236084
LSTM,23,11,loss,0.970486164093018
LSTM,24,1,loss,0.999034345149994
LSTM,24,2,loss,0.997771382331848
LSTM,24,3,loss,0.996417641639709
LSTM,24,4,loss,0.99509584903717
LSTM,24,5,loss,0.993435740470886
LSTM,24,6,loss,0.991093754768372
LSTM,24,7,loss,0.988590955734253
LSTM,24,8,loss,0.986023128032684
LSTM,24,9,loss,0.982097029685974
LSTM,24,10,loss,0.978519916534424
LSTM,24,11,loss,0.974339842796326
LSTM,25,1,loss,0.999006390571594
LSTM,25,2,loss,0.997708976268768
LSTM,25,3,loss,0.996459543704987
LSTM,25,4,loss,0.994943082332611
LSTM,25,5,loss,0.993421852588654
LSTM,25,6,loss,0.991152584552765
LSTM,25,7,loss,0.988343596458435
LSTM,25,8,loss,0.985262334346771
LSTM,25,9,loss,0.980759620666504
LSTM,25,10,loss,0.975612282752991
LSTM,25,11,loss,0.970536112785339
LSTM,26,1,loss,0.999028861522675
LSTM,26,2,loss,0.997586488723755
LSTM,26,3,loss,0.996023714542389
LSTM,26,4,loss,0.994641721248627
LSTM,26,5,loss,0.993337512016296
LSTM,26,6,loss,0.991752207279205
LSTM,26,7,loss,0.989429950714111
LSTM,26,8,loss,0.986217439174652
LSTM,26,9,loss,0.982928872108459
LSTM,26,10,loss,0.981175303459167
LSTM,27,1,loss,0.99904990196228
LSTM,27,2,loss,0.997781276702881
LSTM,27,3,loss,0.996638655662537
LSTM,27,4,loss,0.995435774326324
LSTM,27,5,loss,0.99429315328598
LSTM,27,6,loss,0.992663204669952
LSTM,27,7,loss,0.990641593933105
LSTM,27,8,loss,0.988616704940796
LSTM,27,9,loss,0.985449314117432
LSTM,27,10,loss,0.982887029647827
LSTM,28,1,loss,0.999110281467438
LSTM,28,2,loss,0.997764229774475
LSTM,28,3,loss,0.996859490871429
LSTM,28,4,loss,0.995710253715515
LSTM,28,5,loss,0.993929207324982
LSTM,28,6,loss,0.9923956990242
LSTM,28,7,loss,0.989900648593903
LSTM,28,8,loss,0.987022995948792
LSTM,28,9,loss,0.982620775699615
LSTM,28,10,loss,0.979161977767944
LSTM,28,11,loss,0.975133776664734
LSTM,29,1,loss,0.998886406421661
LSTM,29,2,loss,0.99773907661438
LSTM,29,3,loss,0.996532440185547
LSTM,29,4,loss,0.995392441749573
LSTM,29,5,loss,0.993514239788055
LSTM,29,6,loss,0.991307556629181
LSTM,29,7,loss,0.988306879997253
LSTM,29,8,loss,0.985750794410706
LSTM,29,9,loss,0.982900619506836
LSTM,29,10,loss,0.978616178035736
LSTM,29,11,loss,0.974339723587036
LSTM,30,1,loss,0.998941421508789
LSTM,30,2,loss,0.99753326177597
LSTM,30,3,loss,0.99625962972641
LSTM,30,4,loss,0.994727313518524
LSTM,30,5,loss,0.993210554122925
LSTM,30,6,loss,0.991588413715363
LSTM,30,7,loss,0.989232361316681
LSTM,30,8,loss,0.986799478530884
LSTM,30,9,loss,0.983286440372467
LSTM,30,10,loss,0.979774057865143
LSTM,30,11,loss,0.976832628250122
LSTM,31,1,loss,0.999224424362183
LSTM,31,2,loss,0.997809886932373
LSTM,31,3,loss,0.996627569198608
LSTM,31,4,loss,0.995083689689636
LSTM,31,5,loss,0.993293762207031
LSTM,31,6,loss,0.991138279438019
LSTM,31,7,loss,0.989043772220612
LSTM,31,8,loss,0.986617386341095
LSTM,31,9,loss,0.983281075954437
LSTM,31,10,loss,0.97903573513031
LSTM,31,11,loss,0.974681913852692
LSTM,32,1,loss,0.999131083488464
LSTM,32,2,loss,0.997623324394226
LSTM,32,3,loss,0.996452450752258
LSTM,32,4,loss,0.994747042655945
LSTM,32,5,loss,0.992873549461365
LSTM,32,6,loss,0.990541517734528
LSTM,32,7,loss,0.988363683223724
LSTM,32,8,loss,0.985638797283173
LSTM,32,9,loss,0.982593953609467
LSTM,32,10,loss,0.979072511196136
LSTM,33,1,loss,0.999097228050232
LSTM,33,2,loss,0.99789559841156
LSTM,33,3,loss,0.996852874755859
LSTM,33,4,loss,0.995287775993347
LSTM,33,5,loss,0.993281066417694
LSTM,33,6,loss,0.991948425769806
LSTM,33,7,loss,0.990174233913422
LSTM,33,8,loss,0.98832494020462
LSTM,33,9,loss,0.985439538955688
LSTM,33,10,loss,0.982848644256592
LSTM,33,11,loss,0.977678239345551
LSTM,34,1,loss,0.999301850795746
LSTM,34,2,loss,0.998159945011139
LSTM,34,3,loss,0.996753454208374
LSTM,34,4,loss,0.995115697383881
LSTM,34,5,loss,0.993585646152496
LSTM,34,6,loss,0.991809606552124
LSTM,34,7,loss,0.989598393440247
LSTM,34,8,loss,0.987296998500824
LSTM,34,9,loss,0.984475672245026
LSTM,34,10,loss,0.981195747852325
LSTM,35,1,loss,0.998899757862091
LSTM,35,2,loss,0.99759429693222
LSTM,35,3,loss,0.996780693531036
LSTM,35,4,loss,0.994894683361053
LSTM,35,5,loss,0.993324339389801
LSTM,35,6,loss,0.99192887544632
LSTM,35,7,loss,0.989599287509918
LSTM,35,8,loss,0.986926436424255
LSTM,35,9,loss,0.983866930007935
LSTM,35,10,loss,0.980014145374298
LSTM,35,11,loss,0.977007627487183
LSTM,36,1,loss,0.999031603336334
LSTM,36,2,loss,0.99802565574646
LSTM,36,3,loss,0.996612131595612
LSTM,36,4,loss,0.994883835315704
LSTM,36,5,loss,0.993293225765228
LSTM,36,6,loss,0.99184650182724
LSTM,36,7,loss,0.989066004753113
LSTM,36,8,loss,0.985543310642242
LSTM,36,9,loss,0.982694387435913
LSTM,36,10,loss,0.979083061218262
